user_id,user_address_id,shop_id,shop_product_id,order_id,order_item_id,order_shipment_id,order_status,order_payable_price,order_discount,order_shipping_cost_total,order_checkout_status,order_item_quantity,order_item_payable_price,order_item_discount,order_shipment_status,order_shipment_delivery_status,rate,tags
893597,1493254,108,381654,834527,2451186,790174,full_delivered,300000,0,0,complete_paid,2,140000,0,delivered,delivered,5,"[1, 2, 3, 4, 11]"
893597,1493254,108,269453,834527,2451187,790174,full_delivered,300000,0,0,complete_paid,4,160000,0,delivered,delivered,5,"[1, 2, 3, 4, 11]"
894037,1493704,358,1196775,835307,2453495,790925,full_delivered,305000,225000,0,complete_paid,2,190248,124752,delivered,delivered,5,"[1, 2, 3, 4, 11]"
894037,1493704,358,1235647,835307,2453496,790925,full_delivered,305000,225000,0,complete_paid,1,114752,100248,delivered,delivered,5,"[1, 2, 3, 4, 11]"
83968,1493497,265,1008578,834790,2451958,790424,full_delivered,690000,1090000,0,complete_paid,1,690000,1090000,delivered,delivered,5,"[1, 2, 4]"
894003,1493688,358,1196146,835059,2452731,790683,full_delivered,415344,300000,0,complete_paid,1,277157,200187,delivered,delivered,5,"[3, 4]"
894003,1493688,358,1252214,835059,2452732,790683,full_delivered,415344,300000,0,complete_paid,1,74901,54099,delivered,delivered,5,"[3, 4]"
894003,1493688,358,1243191,835059,2452733,790683,full_delivered,415344,300000,0,complete_paid,1,63286,45714,delivered,delivered,5,"[3, 4]"
83968,1493497,265,1008533,835275,2453393,790893,full_delivered,520000,270000,0,complete_paid,6,268668,151332,delivered,delivered,5,"[1, 2, 3, 4]"
83968,1493497,265,1008076,835275,2453394,790893,full_delivered,520000,270000,0,complete_paid,1,99667,50333,delivered,delivered,5,"[1, 2, 3, 4]"
83968,1493497,265,1008032,835275,2453395,790893,full_delivered,520000,270000,0,complete_paid,1,82334,37666,delivered,delivered,5,"[1, 2, 3, 4]"
83968,1493497,265,1008509,835275,2453396,790893,full_delivered,520000,270000,0,complete_paid,1,69331,30669,delivered,delivered,5,"[1, 2, 3, 4]"
894271,1493770,179,603338,835187,2453118,790807,full_delivered,668000,300000,0,complete_paid,1,48306,21694,delivered,delivered,1,[14]
894271,1493770,179,603101,835187,2453119,790807,full_delivered,668000,300000,0,complete_paid,1,89711,40289,delivered,delivered,1,[14]
894271,1493770,179,606919,835187,2453120,790807,full_delivered,668000,300000,0,complete_paid,1,69009,30991,delivered,delivered,1,[14]
894271,1493770,179,600683,835187,2453121,790807,full_delivered,668000,300000,0,complete_paid,1,55207,24793,delivered,delivered,1,[14]
894271,1493770,179,600366,835187,2453122,790807,full_delivered,668000,300000,0,complete_paid,1,34505,15495,delivered,delivered,1,[14]
894271,1493770,179,600411,835187,2453123,790807,full_delivered,668000,300000,0,complete_paid,1,48306,21694,delivered,delivered,1,[14]
894271,1493770,179,602455,835187,2453124,790807,full_delivered,668000,300000,0,complete_paid,3,62109,27891,delivered,delivered,1,[14]
894271,1493770,179,600940,835187,2453125,790807,full_delivered,668000,300000,0,complete_paid,2,55208,24792,delivered,delivered,1,[14]
894271,1493770,179,1232851,835187,2453126,790807,full_delivered,668000,300000,0,complete_paid,2,205639,92361,delivered,delivered,1,[14]
894436,1493938,15,12650,835373,2453660,790988,full_delivered,445000,300000,0,complete_paid,1,295672,199328,delivered,delivered,5,"[1, 2, 3, 4]"
894436,1493938,15,101809,835373,2453661,790988,full_delivered,445000,300000,0,complete_paid,1,149328,100672,delivered,delivered,5,"[1, 2, 3, 4]"
894737,1494282,49,1142750,835924,2455320,791518,full_delivered,375000,315000,0,complete_paid,1,202174,177826,delivered,delivered,5,"[1, 2, 3, 4, 11]"
894737,1494282,49,1143048,835924,2455321,791518,full_delivered,375000,315000,0,complete_paid,1,88044,71956,delivered,delivered,5,"[1, 2, 3, 4, 11]"
894737,1494282,49,210664,835924,2455322,791518,full_delivered,375000,315000,0,complete_paid,1,84782,65218,delivered,delivered,5,"[1, 2, 3, 4, 11]"
893093,1492775,49,210199,836044,2455646,791633,full_delivered,500000,400000,0,complete_paid,1,250000,250000,delivered,delivered,3,"[4, 6, 11]"
893093,1492775,49,197248,836044,2455647,791633,full_delivered,500000,400000,0,complete_paid,2,125000,75000,delivered,delivered,3,"[4, 6, 11]"
893093,1492775,49,76635,836044,2455648,791633,full_delivered,500000,400000,0,complete_paid,1,125000,75000,delivered,delivered,3,"[4, 6, 11]"
892727,1494155,49,83093,835721,2454731,791320,full_delivered,508800,300000,0,complete_paid,1,508800,300000,delivered,delivered,1,[6]
895238,1494664,358,1196015,836340,2456543,791920,full_delivered,810000,0,0,complete_paid,1,450000,0,delivered,delivered,5,[1]
895238,1494664,358,1197151,836340,2456544,791920,full_delivered,810000,0,0,complete_paid,1,360000,0,delivered,delivered,5,[1]
895016,1494481,179,605975,836189,2456116,791776,full_delivered,400000,300000,0,complete_paid,4,360000,270000,delivered,delivered,5,"[1, 2, 3, 4, 11]"
895016,1494481,179,604952,836189,2456117,791776,full_delivered,400000,300000,0,complete_paid,1,40000,30000,delivered,delivered,5,"[1, 2, 3, 4, 11]"
894427,1493928,358,1196765,835416,2453796,791031,full_delivered,440000,320000,0,complete_paid,4,374596,255404,delivered,delivered,4,"[1, 4]"
894427,1493928,358,1209318,835416,2453797,791031,full_delivered,440000,320000,0,complete_paid,2,65404,64596,delivered,delivered,4,"[1, 4]"
895101,1494583,11,1296223,836295,2456422,791877,full_delivered,437000,550000,0,complete_paid,1,437000,550000,delivered,delivered,5,"[1, 2, 3, 4, 11]"
895101,1494583,11,149533,836566,2457181,792140,full_delivered,329000,200000,0,complete_paid,1,329000,200000,delivered,delivered,5,"[1, 2, 3, 4, 11]"
896014,1495151,358,1360845,836671,2457489,792245,full_delivered,650000,0,0,complete_paid,1,370000,0,delivered,delivered,5,"[1, 2, 3, 4, 11]"
896014,1495151,358,1209423,836671,2457490,792245,full_delivered,650000,0,0,complete_paid,1,70000,0,delivered,delivered,5,"[1, 2, 3, 4, 11]"
896014,1495151,358,1197216,836671,2457491,792245,full_delivered,650000,0,0,complete_paid,1,60000,0,delivered,delivered,5,"[1, 2, 3, 4, 11]"
896014,1495151,358,1197144,836671,2457492,792245,full_delivered,650000,0,0,complete_paid,1,80000,0,delivered,delivered,5,"[1, 2, 3, 4, 11]"
896014,1495151,358,1209413,836671,2457493,792245,full_delivered,650000,0,0,complete_paid,1,70000,0,delivered,delivered,5,"[1, 2, 3, 4, 11]"
895101,1494583,11,151285,836670,2457487,792244,full_delivered,307000,200000,0,complete_paid,3,216174,140826,delivered,delivered,5,"[1, 2, 3, 4, 11]"
895101,1494583,11,166657,836670,2457488,792244,full_delivered,307000,200000,0,complete_paid,2,90826,59174,delivered,delivered,5,"[1, 2, 3, 4, 11]"
894615,1494100,35,1348016,837439,2459553,792983,full_delivered,313760,208240,0,complete_paid,1,67179,42821,delivered,delivered,5,[1]
894615,1494100,35,50885,837439,2459554,792983,full_delivered,313760,208240,0,complete_paid,1,84987,57013,delivered,delivered,5,[1]
894615,1494100,35,50806,837439,2459555,792983,full_delivered,313760,208240,0,complete_paid,2,84218,55782,delivered,delivered,5,[1]
894615,1494100,35,755102,837439,2459556,792983,full_delivered,313760,208240,0,complete_paid,1,29620,20380,delivered,delivered,5,[1]
894615,1494100,35,51081,837439,2459557,792983,full_delivered,313760,208240,0,complete_paid,1,18139,11861,delivered,delivered,5,[1]
894615,1494100,35,706287,837439,2459558,792983,full_delivered,313760,208240,0,complete_paid,1,29617,20383,delivered,delivered,5,[1]
897673,1496185,11,153558,837386,2459394,792931,full_delivered,528600,40000,0,complete_paid,1,90000,15000,delivered,delivered,5,"[1, 3]"
897673,1496185,11,159543,837386,2459395,792931,full_delivered,528600,40000,0,complete_paid,1,205000,25000,delivered,delivered,5,"[1, 3]"
897673,1496185,11,153369,837386,2459396,792931,full_delivered,528600,40000,0,complete_paid,1,160000,0,delivered,delivered,5,"[1, 3]"
897673,1496185,11,11367,837386,2459397,792931,full_delivered,528600,40000,0,complete_paid,1,73600,0,delivered,delivered,5,"[1, 3]"
766482,1496441,358,1462150,837862,2460827,793397,full_delivered,425000,339000,0,complete_paid,1,146552,142448,delivered,delivered,5,"[1, 4]"
766482,1496441,358,1205382,837862,2460828,793397,full_delivered,425000,339000,0,complete_paid,1,87932,62068,delivered,delivered,5,"[1, 4]"
766482,1496441,358,1232926,837862,2460829,793397,full_delivered,425000,339000,0,complete_paid,1,190516,134484,delivered,delivered,5,"[1, 4]"
897862,1496124,266,1004429,837728,2460384,793266,full_delivered,442500,587500,0,complete_paid,5,442500,587500,delivered,delivered,3,"[3, 4, 6]"
898442,1496531,33,49889,838136,2461561,793649,full_delivered,429000,300000,0,complete_paid,1,29424,20576,delivered,delivered,5,"[1, 2, 3, 4, 11]"
898442,1496531,33,49894,838136,2461562,793649,full_delivered,429000,300000,0,complete_paid,2,58848,41152,delivered,delivered,5,"[1, 2, 3, 4, 11]"
898442,1496531,33,706247,838136,2461563,793649,full_delivered,429000,300000,0,complete_paid,1,23540,16460,delivered,delivered,5,"[1, 2, 3, 4, 11]"
898442,1496531,33,1469980,838136,2461564,793649,full_delivered,429000,300000,0,complete_paid,1,11770,8230,delivered,delivered,5,"[1, 2, 3, 4, 11]"
898442,1496531,33,49671,838136,2461565,793649,full_delivered,429000,300000,0,complete_paid,1,29424,20576,delivered,delivered,5,"[1, 2, 3, 4, 11]"
898442,1496531,33,49270,838136,2461566,793649,full_delivered,429000,300000,0,complete_paid,1,64733,45267,delivered,delivered,5,"[1, 2, 3, 4, 11]"
898442,1496531,33,1297345,838136,2461567,793649,full_delivered,429000,300000,0,complete_paid,2,47080,32920,delivered,delivered,5,"[1, 2, 3, 4, 11]"
898442,1496531,33,813067,838136,2461568,793649,full_delivered,429000,300000,0,complete_paid,1,88272,61728,delivered,delivered,5,"[1, 2, 3, 4, 11]"
