id,user_address_id,gender,latitude,longitude
892918,1492633,,35.75986,51.38908
893028,1492638,male,35.71591,51.36266
544487,1492643,male,35.72395,51.45689
462154,1492647,,35.68571,51.44245
557409,1492648,,35.71027,51.37108
893015,1492649,,35.73612,51.30532
893032,1492654,,35.74840,51.40830
893034,1492660,,35.73713,51.39930
893043,1492663,,35.72598,51.31669
878653,1492668,,35.69793,51.39063
280120,1492672,,35.72761,51.24794
876079,1492678,,35.73018,51.57618
570517,1492687,,35.65664,51.37990
388973,1492688,,35.76383,51.29669
4311,1492692,,35.75356,51.45410
892979,1492693,,35.67731,51.33799
314025,1492696,,35.76038,51.19724
893074,1492701,,35.65722,51.44489
893062,1492708,,35.80371,51.43834
893082,1492715,,35.77277,51.43364
892915,1492716,,35.70977,51.33888
893075,1492723,,35.72483,51.43869
153253,1492737,,35.70286,51.34337
893078,1492739,,35.77441,51.48009
640632,1492743,,35.73698,51.46859
893084,1492744,,35.75286,51.54555
666306,1492752,,35.67201,51.32416
893064,1492755,,35.75882,51.23102
280120,1492762,,35.72723,51.24793
893093,1492775,,35.69722,51.44847
422843,1492777,male,35.73020,51.31206
893064,1492779,,35.75864,51.23101
362,1492787,,35.76332,51.43305
893124,1492790,,35.76821,51.38057
651996,1492791,,35.65610,51.36803
893128,1492793,,35.63490,51.41106
553485,1492797,,35.70842,51.46952
386074,1492809,female,35.74421,51.52610
890277,1492810,,35.66670,51.32335
867836,1492812,,35.75492,51.56354
368304,1492816,,35.62963,51.41474
386074,1492817,female,35.71779,51.46327
883674,1492827,,35.75546,51.32460
278245,1492843,,35.67736,51.34190
812116,1492844,rather_not_to_say,35.79299,51.36472
893167,1492862,,35.74916,51.32155
883556,1492865,,35.66911,51.46988
683815,1492866,,35.73167,51.31914
391457,1492867,,35.77554,51.30348
755253,1492871,,35.73293,51.33132
187063,1492873,,35.63853,51.48717
893141,1492874,female,35.71859,51.48025
893173,1492875,,35.73684,51.30928
893162,1492891,,35.78415,51.36835
893228,1492892,,35.78625,51.37175
581727,1492894,,35.69098,51.35432
624083,1492897,,35.78131,51.46133
792409,1492906,,35.72789,51.39193
170504,1492913,,35.74856,51.23494
814279,1492914,,35.74810,51.52320
339008,1492920,,35.71002,51.36672
810766,1492923,,35.65534,51.26907
893299,1492934,,35.74883,51.18798
892869,1492935,,35.73301,51.38651
893309,1492960,,35.70381,51.36104
262286,1492961,,35.71956,51.48443
810766,1492962,,35.65477,51.26662
893324,1492971,,35.65949,51.49939
381677,1492972,,35.76885,51.43508
893330,1492981,,35.70391,51.43351
869305,1492984,,35.65479,51.47398
715957,1492987,,35.73530,51.46662
893299,1492995,,35.68438,51.39727
893342,1493000,,35.73816,51.31412
833798,1493003,,35.72483,51.31546
893303,1493010,,35.66657,51.36499
126036,1493011,,35.77962,51.41833
893347,1493012,,35.72603,51.53705
156827,1493020,,35.75554,51.32450
893369,1493025,,35.73865,51.45836
87155,1493038,,35.70521,51.34548
90302,1493040,,35.70323,51.34403
893421,1493042,,35.75365,51.32798
293654,1493051,,35.69875,51.37586
514243,1493054,,35.65997,51.43538
893431,1493063,,35.73799,51.31419
425,1493064,,35.72373,51.47684
893435,1493067,,35.73292,51.49758
893445,1493073,,35.72829,51.17827
599492,1493092,,35.74576,51.48489
893470,1493097,,35.65898,51.35784
350199,1493102,,35.76581,51.35793
366794,1493107,,35.72231,51.49683
60824,1493112,,35.67272,51.44434
893494,1493114,,35.64614,51.47806
688560,1493116,,35.67358,51.32653
359454,1493118,,35.73908,51.43819
697046,1493121,,35.69578,51.45282
893484,1493122,,35.70623,51.50799
893468,1493123,,35.69099,51.35433
893486,1493127,female,35.67219,51.37016
331879,1493128,,35.75896,51.53612
309692,1493136,,35.71769,51.37659
893329,1493145,,35.78979,51.37025
819647,1493159,,35.76805,51.30110
893523,1493161,,35.73282,51.29147
893128,1493162,,35.65697,51.37996
892727,1493169,,35.68471,51.46675
636601,1493171,,35.74298,51.53786
893542,1493172,,35.72112,51.35987
261053,1493175,,35.66665,51.46083
893541,1493176,,35.69770,51.36843
893534,1493180,,35.79638,51.40648
196154,1493192,,35.68686,51.49007
893553,1493197,,35.80398,51.41056
893316,1493199,,35.71223,51.43453
82113,1493201,,35.78989,51.44859
868064,1493207,,35.71902,51.44069
396041,1493211,,35.77391,51.43331
893537,1493214,,35.74855,51.52874
244555,1493234,,35.74489,51.32748
893574,1493235,,35.77407,51.46712
17531,1493237,,35.69090,51.35976
845827,1493247,,35.74563,51.19755
868724,1493251,,35.74251,51.49010
893572,1493253,,35.72623,51.40688
893597,1493254,,35.71113,51.47332
337406,1493255,,35.70659,51.37649
893567,1493260,,35.71831,51.50501
893601,1493269,,35.69835,51.38842
893606,1493274,,35.67770,51.38087
187879,1493275,,35.73474,51.30855
761599,1493283,,35.71867,51.31409
893615,1493291,,35.74286,51.53106
893613,1493292,,35.76674,51.32637
5093,1493293,,35.80581,51.41585
885064,1493295,,35.66136,51.39541
892644,1493300,,35.70839,51.41854
893543,1493302,,35.69404,51.35710
295862,1493313,,35.73527,51.48332
893635,1493316,,35.77235,51.30987
330968,1493317,,35.65168,51.30327
893577,1493318,,35.72131,51.47188
390924,1493325,,35.76370,51.29280
893631,1493331,,35.67081,51.32736
893616,1493332,,35.69364,51.43799
14182,1493342,,35.72237,51.31198
893655,1493352,,35.69423,51.46260
893662,1493370,,35.80385,51.42292
262754,1493371,,35.66136,51.39541
893657,1493372,,35.72820,51.43460
893669,1493383,,35.72180,51.45450
78078,1493387,,35.67662,51.48317
893659,1493388,,35.77660,51.44135
